battery_id,capacity_mean_100,capacity_at_100,capacity_min_100,ir_mean_100,temp_mean_100,temp_max_100,charge_time_mean_100,cycle_life,capacity_drop
B037,1.0812765595959597,1.0802411,1.0778315,0.016437746262626264,32.04688205693082,34.868446,11.55480367003368,704.0,0.0010354595959596313
B038,1.0780300424242424,1.0768065,1.0748194,0.01654642202020202,32.95969887229894,36.993626,11.561455202020225,648.0,0.0012235424242423854
B039,1.075801506060606,1.0749754,1.0729513,0.01621205696969697,33.69474656343401,37.995705,10.231588400673418,617.0,0.0008261060606060688
B040,1.085658998989899,1.0847629,1.0817773,0.016691104555555555,33.50643317156701,38.024876,10.242025976430943,625.0,0.0008960989898989524
B041,1.086929977777778,1.0857353,1.0833029,0.01667927321212121,33.45968416375565,38.388569,12.087224326599333,966.0,0.0011946777777778195
B042,1.082886786868687,1.0821686,1.0789614,0.016744890505050507,33.073322532455414,37.576675,12.091290892255914,1051.0,0.0007181868686869652
B043,1.0838891838383837,1.0832821,1.0798725,0.016715622838383837,33.585067243916896,38.397423,11.178124326599383,702.0,0.0006070838383838151
B044,1.070522194949495,1.0688359,1.0682389,0.016104855565656565,33.339782658681436,37.725166,11.17782324915825,651.0,0.0016862949494949042
B045,1.0868420717171718,1.0847102,1.0847102,0.01741384996969697,32.55333216968652,36.804283,10.258049427609434,616.0,0.002131871717171885
B046,1.0871594505050506,1.0858277,1.0839558,0.016674251585858585,33.000547391096504,37.855122,10.257274326599301,599.0,0.0013317505050505218
